confirmed,recovered,death,date,cumulative_confirmed ,cumulative_recovered,cumulative_death,active_cases
2,0,0,03/12/2020,2,0,0,2
2,0,0,03/13/2020,4,0,0,4
2,0,0,03/14/2020,6,0,0,6
1,0,0,03/17/2020,7,0,0,7
2,0,0,03/18/2020,9,0,0,9
2,0,0,03/19/2020,11,0,0,11
5,0,0,03/20/2020,16,0,0,16
3,2,1,03/21/2020,19,2,1,16
3,0,1,03/22/2020,22,2,2,18
3,0,0,03/23/2020,25,2,2,21
26,0,0,03/24/2020,51,2,2,47
15,0,0,03/25/2020,66,2,2,62
64,0,1,03/26/2020,130,2,3,125
5,0,1,03/27/2020,135,2,4,129
6,0,1,03/28/2020,141,2,5,134
11,0,0,03/29/2020,152,2,5,145
9,1,0,03/31/2020,161,3,5,153
34,0,0,04/01/2020,195,3,5,187
9,0,0,04/02/2020,204,3,5,196
1,0,0,04/03/2020,205,3,5,197
9,0,0,04/04/2020,214,3,5,206
73,0,0,04/06/2020,287,3,5,279
26,0,0,04/07/2020,313,3,5,305
65,1,1,04/09/2020,378,4,6,368
30,0,2,04/10/2020,408,4,8,396
158,0,0,04/11/2020,566,4,8,554
70,79,0,04/14/2020,636,83,8,545
5,0,0,04/15/2020,641,83,8,550
193,16,1,04/18/2020,834,99,9,726
208,0,0,04/19/2020,1042,99,9,934
237,35,1,04/22/2020,1279,134,10,1135
271,21,1,04/25/2020,1550,155,11,1384
121,33,5,04/27/2020,1671,188,16,1467
403,24,1,04/28/2020,2074,212,17,1845
95,17,1,05/01/2020,2169,229,18,1922
550,65,0,05/02/2020,2719,294,18,2407
372,9,0,05/04/2020,3091,303,18,2770
921,20,0,05/07/2020,4012,323,18,3671
251,55,4,05/08/2020,4263,378,22,3863
437,116,0,05/10/2020,4700,494,22,4184
427,0,0,05/11/2020,5127,494,22,4611
281,20,2,05/12/2020,5408,514,24,4870
122,160,0,05/13/2020,5530,674,24,4832
108,786,4,05/14/2020,5638,1460,28,4150
97,294,1,05/15/2020,5735,1754,29,3952
183,0,2,05/17/2020,5918,1754,31,4133
178,19,0,05/18/2020,6096,1773,31,4292
173,125,0,05/19/2020,6269,1898,31,4340
